Prod Numb,Product Code,Description,Actv,Allerg 1,Allerg 2,Allerg 3,Allerg 4,Allerg 5,Allerg 6,Allerg 7,Allerg 8,Allerg 9
="00002",SUPTAGGREEN,TAG GREEN ULINE                     EACH,Y
="00003",TESTPRODUCT,,Y
="00004",SUPTAGBLUE,TAPE RED (ULINE)                  1/ROLL,Y
="00005",SUPTAGYELLOW,TAG YELLOW ULINE                    EACH,Y
="00007",SUPTAGWHITE,ORANGE TAG S-2414OPW                EACH,Y
="00008",COUPON1GENRC,COUPON - CRAZY FRESH $1 OFF,Y
="00009",COUPON2GENRC,COUPON - CF FREE PRODUCT <5.99,Y
="00010",PALLET,PALLET BILL BACK,Y
="00011",SUPDLXHAM,CHEDDAR CHEESE                      5 LB,N
="00012",SUPLABELJA01,LABEL "JA" 4X6                 4000/CASE,Y
="00013",SUPLABELML01,LABEL "ML" 4X6                 4000/CASE,Y
="00014",SUPLABELWA01,LABEL "WA" 4X6                 4000/CASE,Y
="00015",FOODSHOWFIX,FOOD SHOW FIXTURE - SHELVING,N
="00016",SUPLABELEA01,LABEL "EA" 4X6                 4000/CASE,N
="00017",SUPLABELLX01,LABEL "LX" 4X6                 4000/CASE,Y
="00018",SUPLABELPB01,LABEL "PB" 4X6                 4000/CASE,Y
="00019",SUPLABELLB01,LABEL "LB" 4X6                 4000/CASE,Y
="00020",SUPTGTEGGLB,LABEL "SP" 4X6                 4000/CASE,Y
="00021",SUPTGTCHSLBL,LABEL "DR" 4X6                 4000/CASE,Y
="00022",SUPTGTCOLBLB,TARGET LABEL COLBY SQUARE      1000/CASE,N
="00023",SUPTGTLBLBF,LABEL TARGET BEEF STK SQUARE   1000/CASE,N
="00024",SUPTGTSTRBLU,***LABEL TARGET STRAW/BLUE WRA 1000/CASE,N
="00025",SUPTGTCRKLB,LABEL TARGET CRACKER WRAP      1000/CASE,Y
="00026",SUPTGTBROWNL,***LABEL TARGET BROWNIE WRAP   1000/ROLL,N
="00027",SUPTGTGRPLBL,LABEL TARGET MIXED GRAPE WRAP  1000/ROLL,N
="00028",CUPTGTCARRTL,LABEL TARGET BABY CARROT WRAP  1000/ROLL,N
="00029",SUPTGTAPPLBL,LABEL TARGET APPLE SLICE WRAP  1000/ROLL,N
="00030",SUPTGTSUGRLB,LABEL TARGET SUGAR SNAP WRAP   1000/ROLL,N
="00031",SUPTGTTRKLBL,***LABEL TARGET TURKEY BITE SQ 3300/ROLL,N
="00032",SUPTGTANML,LABEL TARGET ANIMAL CRK WRAP   1000/CASE,N
="00033",SUPTGTPBPRET,***LABEL TARGET PB PRETZEL WR  1000/ROLL,N
="00034",SUPTGTHUMMS,***LABEL TARGET HUMMUS SQUARE  3600/ROLL,N
